物品分类编码,物品分类名称,物品编码,物品名称,规格型号,计量单位
0502,高韧网,05020001,高韧网,焊接格栅 200*200,㎡
0502,高韧网,05020002,高韧网,焊接格栅 200*200（黑色）,㎡
0502,高韧网,05020003,高韧网,焊接格栅 60*60,㎡
0502,高韧网,05020004,高韧网,焊接格栅 180*180,㎡
0502,高韧网,32010043-01,涤纶格栅吨袋,格栅80*80/SBR,㎡
0703,运输框架,07030001,运输框架,长3米以下,个
0703,运输框架,07030002,运输框架,3m-5m（不含5m）,个
0703,运输框架,07030003,运输框架,5m-6m（不含6m）,个
0703,运输框架,07030004,运输框架,6m以上,个
0703,运输框架,07030006,托盘,出口俄罗斯网子用,个
0703,运输框架,07040001,带钩托盘,,个
0503,硬质网用护帮网,05030003,硬质网用护帮网,JD PET 200*200MS,㎡
0503,硬质网用护帮网,05030004,硬质网用护帮网,JD PET 60*60MS,㎡
0503,硬质网用护帮网,05030005,硬质网用护帮网,JD PET 180*180MS,㎡
0503,硬质网用护帮网,05030001,硬质网用护帮网,JD PET 90*90MS,㎡
0503,硬质网用护帮网,05030006,硬质网用护帮网,JD PET 120*120MS,㎡
0503,硬质网用护帮网,05030008,硬质网用护帮网,JD PET 40*40MS,㎡
0503,硬质网用护帮网,05030009,硬质川藏网,川藏网 200*200MS（YB-2000  ）,㎡
0503,硬质网用护帮网,05030010,硬质川藏网,川藏网 300*300MS（YB-3000  ）,㎡
0503,硬质网用护帮网,05030011,硬质川藏网,川藏网 400*400MS（YB-4000  ）,㎡
0503,硬质网用护帮网,05030012,硬质网用护帮网,JD PET 240*240MS,㎡
0503,硬质网用护帮网,05030013,硬质网用护帮网,JD PET 300*300MS,㎡
0503,硬质网用护帮网,05031001,非阻燃硬质网,硬质格栅100*120,㎡
0503,硬质网用护帮网,05030014,硬质网用护帮网,JD PET 80*80MS,㎡
0501,PVC柔性网假顶,05010001,煤矿井下用聚酯纤维防护网,H PET 60-60 MS,㎡
0501,PVC柔性网假顶,05010002,煤矿井下用聚酯纤维防护网,H PET 100-80 MS,㎡
0501,PVC柔性网假顶,05010003,煤矿井下用聚酯纤维防护网,H PET 200-200 MS,㎡
0501,PVC柔性网假顶,05010004,煤矿井下用聚酯纤维防护网,H PET 300-300MS,㎡
0501,PVC柔性网假顶,05010005,煤矿井下用聚酯纤维防护网,H PET 400-400 MS,㎡
0501,PVC柔性网假顶,05010006,煤矿井下用聚酯纤维防护网,H PET 600-400 MS,㎡
0501,PVC柔性网假顶,05010007,煤矿井下用聚酯纤维防护网,H PET 600-600MS,㎡
0501,PVC柔性网假顶,05010008,煤矿井下用聚酯纤维防护网,H PET 800-800 MS,㎡
0501,PVC柔性网假顶,05010009,煤矿井下用聚酯纤维防护网,H PET1000-1000MS,㎡
0501,PVC柔性网假顶,05010011,煤矿井下用聚酯纤维防护网,H PET450-450MS,㎡
0501,PVC柔性网假顶,05010012,煤矿井下用聚酯纤维防护网,H PET400-200MS,㎡
0501,PVC柔性网假顶,05010013,煤矿井下用聚酯纤维防护网,H PET200-80MS,㎡
0501,PVC柔性网假顶,05010014,煤矿井下用聚酯纤维防护网,H PET 80-80 MS,㎡
0501,PVC柔性网假顶,05010015,煤矿井下用聚酯纤维防护网,H PET800-400MS,㎡
0501,PVC柔性网假顶,05010016,煤矿井下用聚酯纤维增强塑料网假顶,JD PET800*600MS,㎡
0501,PVC柔性网假顶,05010017,煤矿井下用聚酯纤维防护网,H PET 700-700MS,㎡
0501,PVC柔性网假顶,05010018,煤矿井下用聚酯纤维增强塑料网假顶,JD PET400*300MS,㎡
0501,PVC柔性网假顶,05010019,煤矿井下用聚酯纤维防护网,H PET 500-500MS,㎡
0501,PVC柔性网假顶,05010020,煤矿井下用聚酯纤维防护网,H PET120-120MS,㎡
0501,PVC柔性网假顶,05010020-02,煤矿井下用聚酯纤维防护网,H PET 120-120 MS（黑色）,㎡
0501,PVC柔性网假顶,05010021,煤矿井下用聚酯纤维防护网,H PET 900-700 MS,㎡
0501,PVC柔性网假顶,05010022,煤矿井下用聚酯纤维防护网,H PET180-180MS,㎡
0501,PVC柔性网假顶,05010023,支护网,H PP 150-150 MS,㎡
0501,PVC柔性网假顶,05010024,煤矿井下用聚酯纤维防护网,H PET 100-100MS,㎡
0501,PVC柔性网假顶,05010025,煤矿井下用聚酯纤维防护网,H PET 170-160 MS,㎡
0501,PVC柔性网假顶,05010026,煤矿井下用聚酯纤维防护网,H PET 250-200 MS,㎡
0501,PVC柔性网假顶,05010027,煤矿井下用聚酯纤维防护网,H PET 150-150MS,㎡
0501,PVC柔性网假顶,05010028,煤矿井下用聚酯纤维防护网,H PET 120-60 MS,㎡
0501,PVC柔性网假顶,05010029,煤矿井下用聚酯纤维防护网,H PET 250-250 MS,㎡
0501,PVC柔性网假顶,05010030,煤矿井下用聚酯纤维防护网,H PET 50-50 MS-1,㎡
0501,PVC柔性网假顶,05010031,煤矿井下用聚酯纤维防护网,H PET 1000-800 MS,㎡
0501,PVC柔性网假顶,05010032,煤矿井下用聚酯纤维防护网,土工格栅 200*200,㎡
0501,PVC柔性网假顶,05010033,煤矿井下用聚酯纤维防护网,H PET 700-600MS,㎡
0501,PVC柔性网假顶,05010034,煤矿井下用聚酯纤维防护网,H PET 40-40 MS,㎡
0501,PVC柔性网假顶,05010035,煤矿井下用聚酯纤维防护网,H PET 900-900 MS,㎡
0501,PVC柔性网假顶,05010036,煤矿井下用聚酯纤维防护网,H PET1100-1100MS,㎡
0501,PVC柔性网假顶,05010037,煤矿井下用聚酯纤维防护网,H PET1200-1200MS,㎡
0501,PVC柔性网假顶,05010038,煤矿井下用聚酯纤维防护网,H PET 270-270MS,㎡
0702,带钩头钢丝绳,07020001,Ф6 带钩头钢丝绳,25m,件
0702,带钩头钢丝绳,07020002,Ф6 带钩头钢丝绳,20m,件
0702,带钩头钢丝绳,07020003,Ф6 带钩头钢丝绳,15m,件
0702,带钩头钢丝绳,07020004,φ8 带钩头钢丝绳,25m,件
0702,带钩头钢丝绳,07020005,φ8 带钩头钢丝绳,15m,件
0702,带钩头钢丝绳,07020006,φ8 带钩头钢丝绳,20m,件
0702,带钩头钢丝绳,07020007,Ф6 带钩头钢丝绳,22m,件
0702,带钩头钢丝绳,07020008,φ8 带钩头钢丝绳,18m,件
0702,带钩头钢丝绳,07020009,φ8 带钩头钢丝绳,30m,件
0702,带钩头钢丝绳,07020010,Ф6 带钩头钢丝绳,30m,件
0702,带钩头钢丝绳,07020011,Ф6 带钩头钢丝绳,27m,件
0702,带钩头钢丝绳,07020012,Ф6 带钩头钢丝绳,28m,件
